caseNum,incidentNotes,year,yearMonth,yearMonthDay,dateNotes,state,place,county,latDecimal,lonDecimal,latDegrees,latMinutes,latSeconds,lonDegrees,lonMinutes,lonSeconds,locationNotes,crowdType,crowdSize,open,authorities,lethality,C-W_Index,G-D_Index,Notes_C-W_G-D
116,,1852,1852/02,1852/02/12,,California,Murphy's Diggings,Calaveras,38.1446994,-120.4347513,,,,,,,CA historical landmark; spelled Murphy's,Jury of the miners,,Open,"Sheriff captured the thieves, appears to have handed over to miners' court",Lethal,,"G-D 8? Has date as 2/0/51. More likely G-D 36, dated 2/11/52.",4
117,,1852,1852/03,1852/03/06,,California,Newton,El Dorado,38.7043483,-120.6790971,,,,,,,"g-d 37 has it as Newtown, Nevada Co.; using GNIS Newtown El Dorado. Check further",the populace,,Open,,Lethal,,G-D- 37,NOTE--Had been whipped previous fall--ADD CASE
118,Arresed and arraigned in court for grand larceny; relased under bond of $2000,1852,1852/03,1852/03/20,,California,Marysville,Yuba,39.1517792,-121.5834912,,,,,,,,Vigilance Committee,,Open,VC turned suspect over to authorities,Lethal,,,4
119,,1852,1852/03,1852/03/31,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,Vigilance Committee,,Open,,Lethal,C-W 13 ,G-D 39,4
120,,1852,1852/03,1852/03/00,,California,Big Canon,El Dorado,38.6107388,-120.9057723,,,,,,,Two miles from Weber Creek bridge. Report notes that suspect escorted there. Using coordinates for Big Canyon Mine (GNIS),Tried by miners,,Open,,Not Lethal,,,3
121,,1852,1852/04,1852/04/03,,California,San Gabriel,Los Angeles,34.0948334,-118.0990757,,,,,,,,Hung by the citizens,,Open,,Lethal,,G-D has date as 3/3/52,4
122,,1852,1852/04,1852/04/15,,California,Coloma,El Dorado,38.7999014,-120.8899382,,,,,,,,Mob,200-300,Open,"Both suspects indicted for Grand larceny and held in jail; mob demanded, jailor resisted but eventually gave suspects up",Lethal,,,4
123,,1852,1852/04,1852/04/20,,California,Fiddletown,Amador,38.5037966,-120.7554891,,,,,,,near Drytown. g-d 40 has location as Dry Diggings,jury of miners,,Open,,Not Lethal,,G-D 40? ,3
124,,1852,1852/04,1852/04/29,,California,White Oak Springs,El Dorado,38.7115697,-120.9513297,,,,,,,"Using GNIS coordinates for Rescue, California. According to Cross, Early Inns of California, p. 230, White Oak Springs and Rescue close by.",jury of assembled citizens,,Open,,Lethal,,G-D- 42,3
125,,1852,1852/05,1852/05/12,,California,On the Klamath River,Siskiyou,41.83381,-122.58373,,,,,,,c-w 16 has location as Klamath River near Yreka; selected GNIS coord north of Yreka on Klamath.,Tried by the miners,,Open,,Lethal,C-W 16? Has date as 5/15/52,,3
126,,1852,1852/04,1852/04/25,,California,Clinton,Amador,38.376024,-120.668264,,,,,,,See http://www.sierranevadageotourism.org/content/clinton-no-37-california-historical-landmark/sieAF561D6A360EA2C7A,Citizens Citizens of Clinton,,Open,,Not Lethal,,,3
127,,1852,1852/05,1852/05/30,,California,Bridgeport,Sierra,39.6146222,-120.5927155,,,,,,,,jury of miners,,Open,,Both,,,3
128,,1852,1852/06,1852/06/03,,California,Nicolaus,Sutter,38.9032305,-121.5777385,,,,,,,,jury of the people,,Open,taken from officers after arrest,Lethal,,G-D 52 has date as 6/12,4
129,,1852,1852/06,1852/06/08,,California,French Corral,Nevada,39.3060036,-121.1613445,,,,,,,Using coordinates for French Corral; one report plaes incident at Rough and Ready…,Judge and jury appointed by the people. Whiteside prosecutor; Lyons atty for prisoners,,Open,,Lethal,,G-D 48,3
130,,1852,1852/06,1852/06/10,,California,Nicolaus,Sutter,38.9360589,-121.58409,,,,,,,Location changed to estimated (guessed) 5 miles above Nicolaus on west bank of Sacramento River,"People turned out, arrested the murderer near Yuba City, and tried him before a jury",,Open,,Lethal,,,NEW REPORTS
131,,1852,1852/06,1852/06/10,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,Hung from oak tree oppostie of the Astor House on Main Street,mob,,Open,taken from jail,Lethal,C-W 17,,
132,Check CA newspapers,1852,1852/06,1852/06/11,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,Hanged from same tree as Cheverino,"jury of 12 chosen from crowd; jry decided to turn over to authorities, when crowd of Frenchmen seized Cruz and hanged him; later report claims that Americans agreed with execution",,Open,,Both,C-W 18,,
134,Check CA newspapers,1852,1852/06,1852/06/15,,California,Placerville,El Dorado,38.7296252,-120.798546,,,,,,,,Taken by citizens (there being no magistrate to be had) and tried,,Open,,Not Lethal,,,3
136,Check CA newspapers,1852,1852/06,1852/06/17,,California,Cache Creek,Yolo,38.9157312,-122.323587,,,,,,,Using coords for Madison,Arrested,,,,Not Lethal,,,3
138,Check CA newspapers,1852,1852/06,1852/06/00,,California,Weaver Creek,Trinity,40.6512565,-122.940025,,,,,,,Gudde CMC 365=366; CPN 419; using mouth,Jury chosen from among the citizens,,Open,,Not Lethal,,,2. only HHB. Race of suspect unclear
139,Check CA newspapers,1852,1852/06,1852/06/27,,California,"Big Bar, on the Cosumnes",El Dorado,38.51527778,-120.9236111,38,30,55,120,55,25,"Using coordinates for Grapevine Ravine, per Durham p 493",jury of 12,,Open,,Lethal,,G-D-47,
140,,1852,1852/07,1852/07/06,,California,Shasta City,Shasta,40.6771722,-122.3593086,,,,,,,"Using coordinates for City of Shasta Lake, but check against Redding Springs",Jury of twelve,,Open,"Arrested by the people and delivered to the sheriff. After victim died, citizens called a meeting and took the prisoner from the sheriff and hung on a tree in sull sight of the town",Lethal,,,
141,Check CA newspapers,1852,1852/07,1852/07/05,,California,Eureka,Nevada,39.4443661,-120.7360289,,,,,,,"California Gazeteer identifies Graniteville as name for Eureka, Nevada County. Report is from Mountain Echo, sierra County. http://tools.wmflabs.org/geohack/geohack.php?pagename=Eureka%2C_Nevada_County%2C_California&params=39_25.6_N_120_54.2_W_region:US-CA_type:city(0)",Lynched,,Open,,Not Lethal,,,
142,Check CA newspapers,1852,1852/07,1852/07/07,,California,Columbia,Tuolumne,38.0352009,-120.4007505,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,
143,,1852,1852/07,1852/07/21,,California,Sutter Creek,Amador,38.390748,-120.8032717,,,,,,,Gudde CPN 380,jury of miners,,Open,,Lethal,C-W 21,,
144,,1852,1852/07,1852/07/13,,California,Rich Bar,Plumas,40.0109982,-121.1930184,,,,,,,"Check County in Source; See Gudde CGC 290-291
g-d 35 has in Sacramento Valley; check data sheets",Vigilance Committee,,Open,,Lethal,,G-D-35,
145,,1852,1852/07,1852/07/00,,California,Indian Creek,El Dorado,38.5132414,-121.0127204,,,,,,,Gudde CGC 167; narrow down choices GNIS; check co,party detained four or five Mexicans as hostages while hunting Mexicans who stole an oxen,,Open,Sheriff sought release of hostages; scare away; returned with posse; seiqzed two or three in pursuit of others,Not Lethal,,,
146,,1852,1852/07,1852/07/21,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,"Hung by the citizens; most prominent citizens of the wotn"";",,Secret,,Lethal,C-W 19,,
147,,1852,1852/07,1852/07/22,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,"jury of twleve, taken from the surrounding crowd. ",,Open,"Unnamed Mexican taken from jail by ""self constituted authorities""",Lethal,See C-W 22,G-D 54 7/21,
148,,1852,1852/07,1852/07/21,,California,Los Angeles,Los Angeles,34.0726866,-118.2130443,,,,,,,hung on summit of Fort Hilll,Committee of citizens,,Open,Officer abetted proceedings,Lethal,C-W 23 7/24, G-D 56 7/31,
149,,1852,1852/07,1852/07/22,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,Citizen's committee; selected from surrounding crowd,,Open,,Lethal,C-W 20,,
150,,1852,1852/07,1852/07/12,,California,Rich Bar,Plumas,40.0109982,-121.1930184,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,
151,,1852,1852/08,1852/08/00,,California,Sherlock Creek,Mariposa,37.5977115,-120.0710146,,,,,,,seven miles from Mariposa; Gudde CGC 317; using mouth,Arrested by the mob,,Open,,Not Lethal,,,
152,,1852,1852/08,1852/08/23,,California,Leak Springs,Amador,38.6293543,-120.2774159,,,,,,,"Durham--El Dorado Co. Leek Springs. Named by Mormons for wild onions near spring. 
(38.38, -120.1445)

Using coordinates for Leek Spring Hill

Gudde CGC 192-193 as Leek Springs. AC 7-9-52 p2c4 describes Leak Springs as on the emigrant road, a few miles from Johnson's Rancho and about 15 miles from Placerville.",tried by a party of emigrants,,Open,,Lethal,,,
153,,1852,1852/09,1852/09/06,,California,Beall's Bar,Placer,38.7199452,-121.1384269,,,,,,,now under folsom lake; estimated coords from GNIS map of Folsom Lake out from Beals Point,People's jury,,Open,,Not Lethal,,,
154,,1852,1852/09,1852/09/15,,California,Ione Valley,Amador,38.3596355,-120.9927195,38,21,15,120,58,,Gudde CGC 169; using mouth GNIS (check). AC 9-19-52 says Ione Valley is in Calaveras County. (Amador created 1854),party from valley,,Open,party from the Valley rescued the culprits from custody of sheriff,Lethal,,,
155,,1852,1852/09,1852/09/16,,California,Santa Clara,Santa Clara,37.3499414,-121.9441241,,,,,,,Using coordinates for Sta Clara Mission; check coordinates,spontaneous vigilance committee,,Open,Suspect had been discharged by Justice Worthen,Not Lethal,,,
156,,1852,1852/10,1852/10/05,,California,Weaverville,Trinity,40.6860908,-122.9358438,,,,,,,,jury empaneled and judge appointed,,Open,crowd debated turning suspect over to sheriff and decided to have people try him,Lethal,,G-D 57 has date as 10/5/52,
157,,1852,1852/09,1852/09/30,,California,Knight's Ferry,Stanislaus,37.8196499,-120.6721494,,,,,,,,a large company of Americans,,Open,,Lethal,,,
158,,1852,1852/09,1852/09/00,,California,Stockton,San Joaquin,37.9595012,-121.2927574,,,,,,,using coordinates for intersection of Center and Park Street,unceremoniusly kicked out,,Open,,Not Lethal,,,
159,Chilean Domingo arrested for killing suspect and held for trial,1852,1852/09,1852/09/00,,California,Sutter Creek,Amador,38.390748,-120.8032717,,,,,,,8 miles from Mokelumne Hill; elsewhere described as 4 miles from Jackson,Jury of 8 Americans and 4 Chileans,,Open,"When officer attempted to take suspect into custody, Chileans shot and killed him",Lethal,,,
160,,1852,1852/09,1852/09/00,,California,Auburn,Placer,38.8968431,-121.0760567,,,,,,,Using GNIS Old Auburn Historic District,Turned over to his countrymen,,Open,,Not Lethal,,,
161,,1852,1852/10,1852/10/12,,California,Stockton,San Joaquin,37.9595012,-121.2927574,,,,,,,using coordinates for intersection of Center and Park Street,Boys around the neighborhood,,Open,,Not Lethal,,,
162,,1852,1852/09,1852/09/28,,California,American Bar,El Dorado,39.0054554,-120.7535407,,,,,,,"Newspaper report is from Americanville; Trial took place at American Bar in El Dorado County, across the American River from Placer County",People's Jury appointedCourt,,Open,,Not Lethal,,,
163,,1852,1852/10,1852/10/14,,California,Oregon Bar,El Dorado,38.8637883,-121.0566115,38,51,50,120,3,20,from report near Pilot Hill; thus El Dorado Co location selected,Crowd,,Open,,Not Lethal,,,
164,,1852,1852/10,1852/10/28,,California,Beall's Bar,Placer,38.7199452,-121.1384269,,,,,,,now under folsom lake; estimated coords from GNIS map of Folsom Lake out from Beals Point,"Arrested, tried and convicted",,Open,,Not Lethal,,,
165,,1851,1852/12,1852/12/05,,California,Los Angeles,Los Angeles,34.0948334,-118.0990757,,,,,,,CHECK LOCATION COORDINATES; SHOULD BE gallows on Fort Hill aka Prospect Hill,Committee appointed by the people,,Open,,Lethal,C-W 24,,
166,,1852,1852/11,1852/11/27,,California,Los Angeles,Los Angeles,34.0948334,-118.0990757,,,,,,,CHECK LOCATION COORDINATES; SHOULD BE gallows on Fort Hill aka Prospect Hill,Jury of 12 men appointed by the people,,Open,,Lethal,C-W 25,,
167,,1852,1852/11,1852/11/27,,California,Fremont,Yolo,38.6765706,-121.6349597,,,,,,,at mouth of Feather River,Trial of man captured immediately held,,Open,,Not Lethal,,,
168,HHB Oct 53; AC early December 53 (?),1853,1853/12,1853/12/00,,California,Yreka,Siskiyou,41.7292557,-122.6311481,,,,,,,,Some parties from Greenhorn Creek,,Open,Took suspect from prison,Lethal,check date,,
169,,1852,1852/12,1852/12/23,,California,Winter's Bar,Calaveras,38.2229735,-120.8910497,,,,,,,Gudde CMC 373-374 aka Winter Bar,doesn't say,,Open,,Not Lethal,,,
170,,1852,1852/12,1852/12/00,,California,San Diego,San Diego,32.7092182,-117.1711445,,,,,,,Using GNIS Seaport Village(?),"Brought before the ""people""",,Open,,Not Lethal,,,
171,,1852,1852/12,1852/12/21,,California,Sacramento,Sacramento,38.6729595,-121.6266261,,,,,,,estimated/guessed to be 12 MILES ABOVE SACRAMENTO ON THE RIVER,Respectiable citizens of that portion of the country,,Open,,Lethal,,G-D- 62 has date as 12/25/52,
172,,1852,1852/03,1852/03/25,,California,Yankee Jim,Placer,39.0293428,-120.8616029,,,,,,,between the middle and north fork of American River,Populace excited; crowd assembled,300-400,Open,Seiozed injured Edmonson from Vigilance Committee,Lethal,,,
173,,1853,1853/01,1853/01/08,,California,Murphey's Gulch,Calaveras,38.1446994,-120.4347513,,,,,,,Using Murphys for Calaveras Co,Miners of Murphy's Gulch assembled,,Open,,Not Lethal,C-W 27 Mexican suspect,G-D 66? Mexican suspect,
174,,1853,1853/01,1853/01/11,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,
175,,1853,1853/01,1853/01/11,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,
176,,1853,1853/01,1853/01/15,,California,Lyon's Ranch,Yuba,39.3879458,-121.2549603,,,,,,,"Estimated/Guessed LOCATION; using coordinates for Frenchtown, nearby according to reports",Party of 8,,Open,,Lethal,,,
177,,1853,1853/02,1853/02/15,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,,Citizens of the place,,Open,people broke into jail and seized suspect,Lethal,C-W 31 has date as 2/15/53; Antonio Valencia,G-D 70 has date as 2/15/53; Antonio Valencia,
178,,1853,1853/01,1853/01/15,,California,Secreto Diggings,Amador,38.3479691,-120.7007658,,,,,,,"See http://www.amadorgold.net/tours/oldschools/milliganschool/
Using Milligan District (Historical) for coordinates",The Americans in the vicinity,,Open,,Not Lethal,,,
179,,1853,1853/01,1853/01/24,,California,Yankee Camp or Yankeeville,Calaveras,38.1621419,-120.648541,,,,,,,"also known as Yaqui Camp; estimating coordinates from Dunham p824, which places Yaqui Camp near San Andreas",Armed party,,Open,,Lethal,C-W 26,,
180,,1853,1853/01,1853/01/27,,California,Sacramento,Sacramento,38.575697,-121.509073,,,,,,,Using coordinates for intersection of Q and Front St.,Jury selected from crowd,2000,Open,,Not Lethal,,,
181,,1853,1853/02,1853/02/02,,California,Harding's Rancho,San Joaquin,37.75138889,-121.3083333,37,45,5,121,18,30,"narrow down; from San Joaquin News in AC; Harding's ranch two miles ""this side"" of Bonsell's Ferry; estimated 2 miles (Google Maps) nort--towards Stockton, from Bonsell's Ferry",jury of citizens,,Open,"Harding's ranch, about 1 mile ""this side of"" Bonsell's Ferry, meaning towards Stockton presumably.",Lethal,,,
182,,1853,1853/02,1853/02/08,,California,San Gabriel,Los Angeles,34.0948334,-118.0990757,,,,,,,,small number of persons investigated the evidence against the suspect,,Open,taken from jail,Not Lethal,,,
183,,1853,1853/04,1853/04/08,,California,San Juan,Monterey,36.8455963,-121.5382382,,,,,,,Using San Juan Bautista,By the people,,Open,Suspect seized from Jail in Monterey according to HHB,Lethal,C-W 30,G-D 68?,
184,,1853,1853/02,1853/02/11,,California,Mud Springs,El Dorado,38.682552,-120.848518,,,,,,,"Gudde CGC 230 El Dorado since 1855; Mud Springs original name of El Dorado, El Dorado County. See http://www.sierranevadageotourism.org/content/el-dorado-originally-mud-springs-no-486-california-historic-landmark/sie8962F6E24D988A588",mob,,Open,Seized from the authorities,Lethal,C-W 69,,
186,,1853,1853/02,1853/02/20,,California,San Andreas,Calaveras,38.1960298,-120.6804872,,,,,,,Gudde CGC 303-304,gave a full confession,,Open,,Lethal,C-W 32,G-D 71,
187,,1853,1853/03,1853/03/00,,California,Colusa,Colusa,39.2048905,-122.0095752,,,,,,,,,,Open,,Lethal,,G-D 73,
188,,1853,1853/03,1853/03/10,,California,Eureka,Humboldt,40.7941276,-124.1568562,,,,,,,,full court and jury,large concourse of miners and citizens,Open,,Lethal,C-W 74?,G-D 63?,
189,,1853,1853/04,1853/04/06,,California,Shasta,Shasta,40.6000725,-122.4924721,,,,,,,,Jury formed and trial held,,Open,Sheriff relinquished suspect to crowd,Lethal,,G-D 75,
190,,1853,1853/04,1853/04/00,,California,Martinez,Contra Costa,38.0170867,-122.1362729,,,,,,,,,,Open,,Lethal,C-W 33,,1; only HHB
191,,1853,1853/05,1853/05/23,,California,American Flat,El Dorado,38.8343457,-120.8157679,,,,,,,3 or 4 miles from Coloma,Large number of miners,,Open,,Lethal,,G-D 76,
192,,1853,1853/06,1853/06/18,,California,Drytown,Calaveras,38.4410213,-120.8543816,,,,,,,shouldn't this be amador co? ,was sentenced,,Open,,Not Lethal,,,2 incidents?
193,,1853,1853/06,1853/06/00,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,"4 men, McKee Raney, Joseph Kirk, and 2 member of Kirk family",4,Open,,Not Lethal,,,
194,,1853,1853/07,1853/07/06,,California,Condemned Bar,Yuba,39.3293363,-121.1966241,,,,,,,Condemned Bar historical place in GNIS is French Corral,Tried by a jury,,Open,,Lethal,,,
195,,1853,1853/07,1853/07/25,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,,Judge Lynch and a goodly number of his b'hoys,,Open,taken from legal officer,Lethal,C-W 37,G-D 77 or G-D 78?,
196,,1853,1853/08,1853/08/17,,California,Santa Cruz,Santa Cruz,36.973381,-122.0355319,,,,,,,,Citizens,,Open,"proceeded to jail, tookhm out, and hung him on the spot",Lethal,,G-D 80,
197,,1853,1853/08,1853/08/22,,California,Trinity River,Shasta,40.666604,-122.9292619,,,,,,,"CHANGE LOCATION. Party of 20-25 whites pursued Indians to Trinity River. Location roughly estimated near Trinity River NW of Potato Hill, Tehama County",Party of 20-25 whites,,Open,,Lethal,,,"estimated location

Lynching or Indian massacre?"
198,,1853,1853/08,1853/08/12,,California,Gibsonville,Sierra,39.7401714,-120.9088398,,,,,,,,"Jury, prosecutor, counsel for defense",1500-2000,Open,taken from jail,Lethal,C-W 38 has date as 8/12/53 ,G-D 79 has date as 8/12/53,
199,,1853,1853/10,1853/10/04,,California,San Luis Obispo,San Luis Obispo,35.2670731,-120.6689034,,,,,,,,Citizens of that place took suspects from ship carrying them from LA and hanged them.,,Open,,Lethal,C-W 41 Has date a 10/13/53 ,G-D 83? Has date a 10/13/53,"C-W adds Bernardo Daniel, who was hanged on 10-13, Added case"
200,,1853,1853/10,1853/10/09,,California,Rich Bar,Plumas,40.0109982,-121.1930184,,,,,,,,Jury of 12 men,,Open,,Not Lethal,,,
201,,1853,1853/10,1853/10/00,,California,San Luis Obispo,San Luis Obispo,35.2670731,-120.6689034,,,,,,,,,,Open,Hanged to joist in the jail,Lethal,C-W 41 Has date a 10/13/53 ,G-D 83? Has date a 10/13/53,
202,,1853,1853/11,1853/11/00,,California,Yreka,Siskiyou,41.7292557,-122.6311481,,,,,,,,,,Open,,Not Lethal,,G-D 82,
203,,1853,1853/10,1853/10/12,,California,Columbia,Tuolumne,38.0352009,-120.4007505,,,,,,,,Crowd of 60-70,,Open,Assemblage took criminals from constable,Not Lethal,,,
205,,1853,1853/11,1853/11/00,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,,,Open,,Not Lethal,,,HHB Only
207,,1855,1855/01,1855/01/22,,California,Turners Ferry,Merced,37.349104,-120.9754833,,,,,,,"coordinates for intersection of San Joaquin and Merced Rivers, per History of Merced County, p 208: ""crossing the Merced River at Turner's Ferry,Turner's ferry on the San Joaquin.""  Originally in Contra Costa County; currently in Stnislaus County",Tried by 27 men,,Open,,Lethal,,,
208,,1854,1854/02,1854/02/18,,California,Bear Valley,Mariposa,37.56805556,-120.1180556,37,34,5,120,7,5,"Near Quartzburg (Hornitos); using coordinates for village of Bear Valley (Durham p744). Lynching took place at tent of victim, near Corbett's Ranch, between Stockton and quartzburg","Lynch party, tried, convicted, and hanged suspects",,Open,,Lethal,"C-W 43
","G-D 89 or G-D 90, dated 2/17/54",
209,,1853,1853/11,1853/11/13,,California,Columbia,Tuolumne,38.0352009,-120.4007505,,,,,,,,excited multitude,,Open,Seized from jaill and tried by people; remanded because victim still lived,Not Lethal,,,
211,,1854,1854/03,1854/03/23,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,,Party of citizens,,Open,,Lethal,,G-D 91 dated as 3/15,
212,,1854,1854/05,1854/05/30,,California,Sonoma,Sonoma,38.291859,-122.4580356,,,,,,,5 miles from Sonoma,Disguised horsemen,25-30,Secrret,Suspect seized men taking him to jail in Sonoma,Lethal,,G-D 92,
213,,1854,1854/06,1854/06/29,,California,Upper Rancheria,Amador,38.4607427,-120.7029875,,,,,,,Gudde CMC 283; using coords for rancheria. Check further,Hung by the people,,Open,,Lethal,,,
214,,1854,1854/07,1854/07/14,,California,San Jose,Santa Clara,37.3107158,-121.9206516,,,,,,,Using coordinates for San Jose West; check coordinates for all Sta Clara,by persons unknown,,Secret,,Lethal,C-W 46 and ,G-D 93? Dates as 7/21/ 6/21;  san vicente rancho in santa clara county,
215,,1854,1854/07,1854/07/00,,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,,,,Open,,Lethal,C-W 44,,2 (HHB only)
216,,1851,1851/06,1851/06/16,SDU 1851-06-25 (Wednesday) reports lynching on Monday last.,California,Jackson,Amador,38.3484545,-120.7723673,,,,,,,,People's jury,,Open,,Lethal,C-W 008 and C-W 045,,C-W apparently counted twice; dating in Bancroft seems wrong (1854).
217,,1854,1854/08,1854/08/23,,California,San Antonio,Alameda,37.857704,-122.2555245,,,,,,,"check county in source; using Oakland West, which (among others) GNIS returns when entering San Antonio, Alameda Co; hanged at rear of Mansion House",Large body of men,,Open,Suspects seized from guards,Lethal,,G-D 94,
218,,1854,1854/09,1854/09/05,,California,Bodega,Sonoma,38.33325,-123.0480571,,,,,,,Changed Location from Russian River Ranch to Bodega,Citizens,,Open,,Lethal,,,
219,,1854,1854/11,1854/11/26,,California,Mariposa,Mariposa,37.4849377,-119.9662843,,,,,,,,Crowd,,Open,Seized from jail against efforts of sheriff,Lethal,,,
220,,1854,1854/12,1854/12/00,,California,Sutter Creek,Amador,38.390748,-120.8032717,,,,,,,Gudde CPN 381,,,Open,,Not Lethal,,,
221,,1854,1854/12,1854/12/00,,California,Volcano,Amador,38.4429658,-120.6307628,,,,,,,Gudde CMC 360-362; letter is from Jackson,crowd pursued murderer,,Open,,Lethal,,G-D 96,
222,"Both Brown and Alvitre convicted of murder; Brown received a stay of execution, Alvitre did not. Crowd aregued both should die; Sheriff executed Alvitre. Crowd seized Brown and executed him

Was Alvitre lynched?",1855,1855/01,1855/01/12,,California,Los Angeles,Los Angeles,34.0726866,-118.2130443,,,,,,,,Mob,,Open,"Suspect taken from jail by force, sheriff resisted. Brown had been granted stay of execution",Lethal,,G-D 98,
223,,1855,1855/01,1855/01/10,,California,Sonora,Tuolumne,37.9840911,-120.3824381,,,,,,,,enraged citizenry,,,Suspect seized from sheriff after confessing to coroner's jury,Lethal,,"G-D 101, dates as 1/20/55",
225,,1855,1855/01,1855/01/30,,California,Red Bluff,Tehama,40.1784886,-122.2358302,,,,,,,,ex parte examination by some citizens,,open,,Lethal,,G-D 103,
226,,1855,1855/01,1855/01/31,,California,Oakland,Alameda,37.8043722,-122.2708026,,,,,,,,crowd,,Open,crowd broke upen the jail and seized suspects,Lethal,,"G-D 100, dates as 1/3/55",
227,,1854,1854/12,1854/12/23,,California,Iowa Hill,Placer,39.1085091,-120.8593823,,,,,,,,Jury of the people; mob,1500,Open,Suspect seized from jail; officers acquiesced to proceedings,Lethal,,"G-D 97, dates as 12/24/54",ADDITIONAL REPORTS; RECHECK
228,,1855,1855/01,1855/01/00,,California,Sawyers Bar,Siskiyou,41.3006916,-123.1430986,,,,,,,CHANGE LOCATION; taken from jail at Bestville and hanged at Sawyer's Bar,Jury of twelve,,Open,"""populace rescued him""  or ""violently wrested"" suspect from jail in Bestville; after ""people"" convicted him of manslaughter the ""mob"" took him and hanged him,",Lethal,,,
231,,1855,1855/01,1855/01/00,,California,Hawkin's Bar,Tuolumne,37.7042901,-120.3628055,,,,,,,"now under water Don Pedro Reservoir See Gudde, CGC 153-154; narrow down GNIS",,,Open,,Lethal,C-W 51 has date as 2/0/55,,1 HHB Only
233,,1855,1855/04,1855/04/22,,California,Jesus Maria,Calaveras,38.2854714,-120.6474309,,,,,,,"Gudde, CGC 177; five miles from Mokelumne Hill","the populace, mob violence",,Open,constables took suspect from crowd; crowd then retook suspect from constables and hanged him.,Lethal,C-W 52 dates as 4/22/55,,
234,,1855,1855/05,1855/05/12,,California,Monte,Los Angeles,34.0739197,-118.029072,,,,,,,"Tentatively using coordinates for el Monte. Hanging took place at the Monte (El Monte?), aka Lexington. Suspects seized at Turner's Pass, 12 miles north of LA. ""In the neighborhood of Tejon.""",mob,10-Jun,secret,seized from jail,Both,,G-D 105,3. Have to add escape category to punishment
235,,1855,1855/06,1855/06/31,,California,San Antonio,Alameda,37.857704,-122.2555245,,,,,,,"check county in source; AC 7-4-55 says contra costa co; using Oakland West, which (among others) GNIS returns when entering San Antonio, Alameda Co",secret group of 50-55 men,,Secrret,,Lethal,,G-D 107 has date as 6/31/55,
236,is Marysville Herald report 9-3-55 p 2 same incident? AC 8-10-55?,1855,1855/08,1855/08/08,,California,Rancheria,Amador,38.4379659,-120.8193805,,,,,,,"c-w 53 and g-d 111? Have place as Gopher Flat c-w 55 and g-d 114 have place as ""Drytown"" and Chili Town (Rancheria) ; using lower rancheria. Check further","mob, citizens",,Open,,Lethal,C-W 53,G-D 111?,"Correct location to Rancheria
Get Empire County Argus (coloma), 8-11-55, for further reports on Rancheria lynchings
"
237,,1855,1855/08,1855/08/23,,California,Horse Shoe Bend,Mariposa,37.6626392,-120.2099076,,,,,,,"On Merced River in Mariposa Co; now under water Lake McClure Reservoir See Gudde, CGC 160; narrow choies GNIS",Miners assembled full and fair jury trial,,Open,,Lethal,,,
238,,1855,1855/09,1855/09/10,,California,Dog Creek,Shasta,40.9384828,-122.41862410,,,,,,,From Shasta Courier,People of Dog Creek,,Open,,Lethal,,G-D 116,
239,,1855,1855/10,1855/10/07,,California,Coulterville,Mariposa,37.710486,-120.1979658,,,,,,,,People's jury,,Open,,Not Lethal,,,
240,,1855,1855/10,1855/10/10,,California,Columbia,Tuolumne,38.0352009,-120.4007505,,,,,,,"Citizens of ""Chinese Camp"" passed resolutions denouncing the participators in Barclay's lynching. Half a mikle outside of town on the road to Gold Spring","mob, people, elected jury of twelve and judg; mock trial; hung without trial when sheriff arrived",,Open,"Suspect seized from Jail; sheriff tried to stop hanging, failed",Lethal,,G-D 117,
241,,1855,1855/10,1855/10/20,,California,Drytown,Amador,38.4410213,-120.8543816,,,,,,,,Spontaneous Assembly,Community en masse,Open,"Suspect seized from Jail

Suspect had been convicted; granted pardon of stay of execution",Lethal,,,
242,,1855,1855/10,1855/10/19,Report from Hills Ferry in NYT dated 10/20 dates hanging as sunset 10/19,California,Hills Ferry,Stanislaus,37.3488262,-120.9796501,31,21,,120,58,45,aka Hill's Ferry; Durham 782; Using GNIS for Hill's Ferry,People's Court,10-100,Open,,Lethal,C-W 58 has date as 10/19/55,G-D 118 has suspect as 4 unknown; has date as 10/19/55,
